org_nr,company_name,section_code,industry,county,embedding_text
5595617779,01 Systems AB,K,,Skåne,"Company: 01 Systems AB. Org nr: 5595617779. Industry: -. Industry code: 62100. Section: -. Location: Ängelholm, Skåne. Size: -. Turnover: -. Legal form: -. Status: -."
5594043266,01TILL22 AB,,,Västra Götaland,"Company: 01TILL22 AB. Org nr: 5594043266. Industry: -. Industry code: 00000. Section: -. Location: Stenungsund, Västra Götaland. Size: -. Turnover: -. Legal form: -. Status: -."
8025498737,02-0332 SVENSKA KYRKANS UNGA I RÅSSNÄSKYRKAN,T,,Östergötland,"Company: 02-0332 SVENSKA KYRKANS UNGA I RÅSSNÄSKYRKAN. Org nr: 8025498737. Industry: -. Industry code: 94910. Section: -. Location: Motala, Östergötland. Size: -. Turnover: -. Legal form: -. Status: -."
5568250939,020 Elektrikerna AB,F,,Stockholm,"Company: 020 Elektrikerna AB. Org nr: 5568250939. Industry: -. Industry code: 43210. Section: -. Location: Huddinge, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5594546151,021 Edge AB,S,,Stockholm,"Company: 021 Edge AB. Org nr: 5594546151. Industry: -. Industry code: 90110. Section: -. Location: Stockholm, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5592118813,021 Fastighetsteknik AB,O,,Västmanland,"Company: 021 Fastighetsteknik AB. Org nr: 5592118813. Industry: -. Industry code: 81100. Section: -. Location: Västerås, Västmanland. Size: -. Turnover: -. Legal form: -. Status: -."
5595022749,021 Förvaltning AB,M,,Stockholm,"Company: 021 Förvaltning AB. Org nr: 5595022749. Industry: -. Industry code: 68310. Section: -. Location: Stockholm, Stockholm. Size: -. Turnover: -. Legal form: -. Status: -."
5593709297,021 Gruppen AB,G,,Halland,"Company: 021 Gruppen AB. Org nr: 5593709297. Industry: -. Industry code: 46900. Section: -. Location: Halmstad, Halland. Size: -. Turnover: -. Legal form: -. Status: -."
5592968175,021 Motor AB,T,,Västmanland,"Company: 021 Motor AB. Org nr: 5592968175. Industry: -. Industry code: 95311. Section: -. Location: Sala, Västmanland. Size: -. Turnover: -. Legal form: -. Status: -."
5567016430,021-Rör AB,F,,Västmanland,"Company: 021-Rör AB. Org nr: 5567016430. Industry: -. Industry code: 43221. Section: -. Location: Västerås, Västmanland. Size: -. Turnover: -. Legal form: -. Status: -."
5568373228,021 Skol AB,Q,,Västmanland,"Company: 021 Skol AB. Org nr: 5568373228. Industry: -. Industry code: 85201. Section: -. Location: Västerås, Västmanland. Size: -. Turnover: -. Legal form: -. Status: -."
